World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
481,University of Strathclyde,United Kingdom,35,-,358,-,471,74.3
482,RMIT University,Australia,19,-,1032,-,453,74.3
483,University of Zaragoza,Spain,13,500,1084,-,454,74.3
484,University of KwaZulu-Natal,South Africa,4,497,361,-,475,74.3
485,"Northeastern University, China",China,59,-,509,-,465,74.3
486,University of Texas Health Science Center at San Antonio,USA,134,-,-,-,455,74.3
487,Southern University of Science and Technology,China,60,-,-,-,456,74.3
488,Western Sydney University,Australia,20,-,1494,-,457,74.3
489,James Cook University,Australia,21,-,1180,-,458,74.2
490,University of Siena,Italy,22,-,1406,-,461,74.2
491,Indian Institute of Science,India,2,330,838,-,464,74.2
492,University of Surrey,United Kingdom,36,204,483,-,492,74.2
493,Technical University of Darmstadt,Germany,34,345,550,-,478,74.2
494,West Virginia University,USA,135,-,357,-,493,74.2
495,University of Tehran,Iran,2,432,-,-,466,74.2
496,Novosibirsk State University,Russia,4,409,1458,-,467,74.2
497,Leibniz University Hannover,Germany,35,-,735,-,469,74.2
498,Fuzhou University,China,61,-,738,-,470,74.1
499,Baylor University,USA,136,-,414,-,495,74.1
500,Federal University of Minas Gerais,Brazil,6,-,611,-,483,74.1
501,University of Hawaii at Manoa,USA,137,395,1260,-,474,74.1
502,University of Ferrara,Italy,23,-,-,-,472,74.1
503,Ulsan National Institute of Science and Technology,South Korea,13,-,-,-,473,74.1
504,University of Colorado Denver,USA,138,-,-,-,476,74.1
505,Polytechnic University of Valencia,Spain,14,-,1466,-,477,74.1
506,University of Rostock,Germany,36,437,-,-,479,74.1
507,École normale supérieure de Lyon,France,24,389,-,270,509,74.1
508,Jiangsu University,China,62,-,1377,-,480,74
509,Joint Institute for Nuclear Research,Russia,5,-,-,-,481,74
510,University of Hull,United Kingdom,37,168,320,134,707,74
511,Technical University of Dortmund,Germany,37,-,-,-,482,74
512,Scuola Normale Superiore di Pisa,Italy,24,90,-,241,613,74
513,University of Tennessee Health Science Center,USA,139,-,-,-,485,74
514,University of Oviedo,Spain,15,-,944,-,487,74
515,University of Potsdam,Germany,38,-,-,-,486,74
516,Rovira i Virgili University,Spain,16,-,1312,-,488,74
517,Eötvös Loránd University,Hungary,1,216,-,233,556,74
518,NOVA University of Lisbon,Portugal,4,-,-,-,489,73.9
519,Mayo Clinic College of Medicine and Science,USA,140,-,-,-,490,73.9
520,Southwest University,China,63,485,1430,-,491,73.9
521,Rush University,USA,141,-,-,-,494,73.9
522,Lehigh University,USA,142,162,61,-,790,73.9
523,University of Modena and Reggio Emilia,Italy,25,-,917,-,498,73.9
524,Boston College,USA,143,-,120,-,588,73.9
525,University College Cork,Ireland,3,-,706,-,503,73.9
526,University of Tartu,Estonia,1,469,-,-,497,73.9
527,Oklahoma State University,USA,144,-,519,-,512,73.8
528,Moscow Institute of Physics and Technology,Russia,6,167,583,273,535,73.8
529,University of Zagreb,Croatia,1,-,1364,-,499,73.8
530,University of Tromsø – The Arctic University of Norway,Norway,4,-,1523,-,500,73.8
531,Cairo University,Egypt,1,-,1107,-,504,73.8
532,"Royal Holloway, University of London",United Kingdom,38,407,1062,219,576,73.8
533,Nanjing Tech University,China,64,-,1593,-,501,73.8
534,Carleton University,Canada,20,-,1337,-,507,73.8
535,"China Medical University, Taiwan",Taiwan,5,-,-,-,505,73.8
536,Savoie Mont Blanc University,France,25,-,-,-,506,73.8
537,Georgia State University,USA,145,-,844,-,508,73.7
538,University of South Australia,Australia,22,-,473,-,514,73.7
539,University of Canterbury,New Zealand,3,357,447,242,569,73.7
540,University of Konstanz,Germany,39,-,-,202,594,73.7
541,Flinders University,Australia,23,471,-,-,510,73.7
542,University of Verona,Italy,26,-,-,-,511,73.7
543,Polytechnic University of Madrid,Spain,17,498,665,-,515,73.7
544,Southern Medical University,China,65,-,-,-,513,73.7
545,University of Bremen,Germany,40,-,-,-,516,73.7
546,Nanjing University of Information Science and Technology,China,66,-,-,-,518,73.7
547,Bar-Ilan University,Israel,6,-,616,-,523,73.6
548,University of Arkansas - Fayetteville,USA,146,263,349,-,548,73.6
549,Jiangnan University,China,67,-,1435,-,520,73.6
550,Saint Petersburg University,Russia,7,155,418,-,562,73.6
551,Mahidol University,Thailand,2,-,1602,-,522,73.6
552,Colorado School of Mines,USA,147,-,75,-,745,73.6
553,University of Nantes,France,26,-,-,-,524,73.6
554,Auburn University,USA,148,-,260,-,560,73.6
555,University of Pretoria,South Africa,5,-,739,-,526,73.6
556,Hitotsubashi University,Japan,15,-,20,-,-,73.6
557,Beijing Jiaotong University,China,68,-,1281,-,525,73.6
558,National Technical University of Athens,Greece,3,481,774,-,531,73.5
559,Indian Institute of Technology Madras,India,3,-,180,-,602,73.5
560,Brunel University London,United Kingdom,39,-,599,-,540,73.5
561,Medical University of Innsbruck,Austria,5,-,-,-,528,73.5
562,Masaryk University,Czech Republic,2,-,-,-,529,73.5
563,Tata Institute of Fundamental Research,India,4,-,-,-,530,73.5
564,Indian Institute of Technology Bombay,India,5,-,326,-,563,73.5
565,Ocean University of China,China,69,-,1426,-,532,73.5
566,Palacký University Olomouc,Czech Republic,3,-,-,-,533,73.5
567,Medical University of Graz,Austria,6,-,-,-,534,73.5
568,University of Graz,Austria,7,447,1252,160,701,73.4
569,China University of Geosciences (Wuhan),China,70,-,731,-,542,73.4
570,Clemson University,USA,149,-,929,-,538,73.4
571,University of Minho,Portugal,5,-,-,-,537,73.4
572,Swansea University,United Kingdom,40,-,1293,-,539,73.4
573,Central China Normal University,China,71,-,1159,-,541,73.4
574,Chiba University,Japan,16,-,-,-,543,73.4
575,Bocconi University,Italy,27,-,50,259,1031,73.4
576,Ewha Womans University,South Korea,14,-,-,-,544,73.4
577,North China Electric Power University,China,72,-,302,-,578,73.4
578,San Diego State University,USA,150,309,421,-,567,73.4
579,Chang Gung University,Taiwan,6,-,-,-,545,73.3
580,Polytechnic University of Turin,Italy,28,-,889,-,547,73.3
581,National Central University,Taiwan,7,-,-,-,549,73.3
582,University of Texas at Arlington,USA,151,-,819,-,553,73.3
583,University of Sherbrooke,Canada,21,-,977,-,551,73.3
584,Rensselaer Polytechnic Institute,USA,152,436,147,-,646,73.3
585,University of Jyväskylä,Finland,7,-,1530,-,550,73.3
586,University of Palermo,Italy,29,-,-,-,552,73.3
587,University of Aveiro,Portugal,6,-,-,-,554,73.3
588,Nanjing Normal University,China,73,-,990,-,557,73.3
589,Federal University of São Paulo,Brazil,7,-,-,-,555,73.2
590,AGH University of Science and Technology,Poland,3,-,913,-,561,73.2
591,University of Delhi,India,6,530,217,-,616,73.2
592,Institut Agro,France,27,-,-,-,558,73.2
593,University of Iceland,Iceland,1,-,-,-,559,73.2
594,Hefei University of Technology,China,74,-,892,-,564,73.2
595,Middle East Technical University,Turkey,1,-,314,-,592,73.2
596,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,8,41,-,222,1039,73.2
597,University of Macau,China,75,-,590,-,574,73.2
598,University of Wisconsin–Milwaukee,USA,153,279,493,-,587,73.2
599,University of Salerno,Italy,30,-,1610,-,566,73.2
600,Brigham Young University,USA,154,318,780,-,575,73.1
601,Renmin University of China,China,76,-,93,-,752,73.1
602,University of Nebraska Medical Center,USA,155,-,-,-,568,73.1
603,Zhejiang University of Technology,China,77,-,1168,-,570,73.1
604,Donghua University,China,78,-,1167,-,571,73.1
605,University of St.Gallen,Switzerland,9,-,29,-,1526,73.1
606,Illinois Institute of Technology,USA,156,63,177,-,851,73.1
607,University of Brescia,Italy,31,-,-,-,572,73.1
608,Indian Institute of Technology Delhi,India,7,-,127,-,690,73.1
609,Qingdao University,China,79,-,-,-,573,73.1
610,National Research Nuclear University MEPhI,Russia,9,451,-,-,577,73.1
611,Nanchang University,China,80,-,1082,-,580,73
612,University of Udine,Italy,32,-,-,-,579,73
613,Concordia University,Canada,22,532,340,-,609,73
614,College of William & Mary,USA,157,-,95,-,760,73
615,University of Cagliari,Italy,33,-,-,-,581,73
616,Swinburne University of Technology,Australia,24,-,-,-,582,73
617,Yangzhou University,China,81,-,1633,-,583,73
618,University of Burgundy,France,28,170,-,-,608,73
619,Czech Technical University in Prague,Czech Republic,4,400,-,-,584,73
620,"Institute of Cancer Research, University of London",United Kingdom,41,246,-,-,596,73
621,University of Eastern Piedmont,Italy,34,-,-,-,585,73
622,Tehran University of Medical Sciences,Iran,3,-,-,-,586,73
623,Guangdong University of Technology,China,82,-,1485,-,589,72.9
624,University of Cantabria,Spain,18,-,1531,-,590,72.9
625,Jeonbuk National University,South Korea,15,-,-,-,591,72.9
626,Utah State University,USA,158,351,967,-,598,72.9
627,Second Military Medical University,China,83,-,-,-,593,72.9
628,CINVESTAV,Mexico,2,-,-,-,595,72.9
629,University of Johannesburg,South Africa,6,-,1040,-,599,72.9
630,Comenius University in Bratislava,Slovak Republic,1,-,-,-,597,72.9
631,Southwest Jiaotong University,China,84,-,842,-,605,72.9
632,"St George's, University of London",United Kingdom,42,-,-,-,600,72.9
633,Tianjin Medical University,China,85,-,-,-,601,72.9
634,University of Québec at Montreal,Canada,23,-,1034,-,604,72.8
635,Swarthmore College,USA,159,19,303,-,-,72.8
636,Catholic University of Korea,South Korea,16,-,-,-,603,72.8
637,Chung-Ang University,South Korea,17,-,1153,-,606,72.8
638,Henryk Niewodniczański Institute of Nuclear Physics,Poland,4,-,-,-,607,72.8
639,National University of La Plata,Argentina,2,-,1516,-,610,72.8
640,National Polytechnic Institute,Mexico,3,-,-,-,611,72.8
641,University of Bayreuth,Germany,41,-,1192,-,612,72.8
642,Loughborough University,United Kingdom,43,-,1540,274,632,72.8
643,University of New Hampshire,USA,160,-,517,-,631,72.8
644,Bielefeld University,Germany,42,441,1580,-,614,72.8
645,Konkuk University,South Korea,18,-,1097,-,615,72.8
646,Sharif University of Technology,Iran,4,399,-,-,617,72.7
647,Boğaziçi University,Turkey,2,-,523,-,634,72.7
648,Memorial University of Newfoundland,Canada,24,-,789,-,624,72.7
649,"National University of Ireland, Galway",Ireland,4,229,1546,-,635,72.7
650,University of Plymouth,United Kingdom,44,-,1585,-,618,72.7
651,South China Normal University,China,86,-,1146,-,620,72.7
652,Hacettepe University,Turkey,3,-,-,-,619,72.7
653,Rio de Janeiro State University,Brazil,8,-,1297,-,621,72.7
654,China University of Mining and Technology (Xuzhou),China,87,-,628,-,633,72.7
655,National University of Defense Technology,China,88,-,1123,-,625,72.7
656,University of Haifa,Israel,7,-,991,-,626,72.7
657,University of La Laguna,Spain,19,-,-,-,622,72.6
658,"China University of Geosciences, Beijing",China,89,-,-,-,623,72.6
659,Haverford College,USA,161,20,1177,-,1949,72.6
660,Gustave Eiffel University,France,29,444,-,-,629,72.6
661,University of Texas at San Antonio,USA,162,-,-,-,627,72.6
662,Cold Spring Harbor Laboratory,USA,163,-,-,101,923,72.6
663,University of Málaga,Spain,20,-,-,-,628,72.6
664,University of Campania Luigi Vanvitelli,Italy,35,-,-,-,630,72.6
665,Ankara University,Turkey,4,-,837,-,636,72.6
666,Beijing University of Technology,China,90,-,-,-,637,72.6
667,University of Oklahoma Health Sciences Center,USA,164,-,-,-,638,72.6
668,University of Angers,France,30,-,-,-,639,72.6
669,South China Agricultural University,China,91,-,1640,-,640,72.5
670,Tilburg University,Netherlands,13,-,387,-,668,72.5
671,Binghamton University,USA,165,304,342,158,899,72.5
672,University of Kent,United Kingdom,45,-,934,-,645,72.5
673,Semmelweis University,Hungary,2,-,-,-,642,72.5
674,Hong Kong Baptist University,China,92,-,1507,-,643,72.5
675,Shinshu University,Japan,17,-,1500,-,644,72.5
676,University of Wyoming,USA,166,-,778,-,650,72.5
677,University of Fribourg,Switzerland,10,-,294,-,685,72.5
678,Guangzhou Medical University,China,93,-,-,-,647,72.5
679,University of Szeged,Hungary,3,449,-,196,783,72.5
680,Sciences Po,France,31,-,58,66,-,72.5
681,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,111,-,797,72.5
682,Institut national des sciences appliquées de Lyon,France,32,-,1405,-,649,72.4
683,Roma Tre University,Italy,36,-,-,-,648,72.4
684,Hohai University,China,94,-,1214,-,651,72.4
685,"University of Nevada, Reno",USA,167,-,1198,-,652,72.4
686,Northeast Normal University,China,95,-,1415,-,653,72.4
687,Istanbul University,Turkey,5,464,1106,-,654,72.4
688,University of Maine,USA,168,499,1304,123,909,72.4
689,Yokohama City University,Japan,18,-,194,-,724,72.4
690,Chungnam National University,South Korea,19,-,1509,-,655,72.4
691,"Northwest University, Xi'an",China,96,-,1197,-,656,72.4
692,Massey University,New Zealand,4,-,921,-,660,72.4
693,University of Calabria,Italy,37,-,-,-,657,72.4
694,Tokyo Medical and Dental University,Japan,19,-,-,-,658,72.3
695,University of North Texas,USA,169,-,767,-,666,72.3
696,Sejong University,South Korea,20,-,-,-,659,72.3
697,Oswaldo Cruz Foundation,Brazil,9,-,-,-,661,72.3
698,Istanbul Technical University,Turkey,6,-,914,-,665,72.3
699,Vilnius University,Lithuania,1,-,-,-,662,72.3
700,University of Poitiers,France,33,338,-,-,667,72.3
701,Taipei Medical University,Taiwan,8,-,-,-,663,72.3
702,Shaanxi Normal University,China,97,-,-,-,664,72.3
703,Victoria University of Wellington,New Zealand,5,379,809,-,674,72.3
704,Loyola University Chicago,USA,170,355,1072,-,669,72.3
705,Tokyo Metropolitan University,Japan,20,188,1137,-,688,72.3
706,Heriot-Watt University,United Kingdom,46,-,558,-,678,72.2
707,University of Salamanca,Spain,21,-,888,-,672,72.2
708,Inha University,South Korea,21,-,752,-,676,72.2
709,University of Ioannina,Greece,4,-,-,-,670,72.2
710,University of Texas Medical Branch,USA,171,-,-,-,671,72.2
711,Warsaw University of Technology,Poland,5,347,961,-,677,72.2
712,Army Medical University,China,98,-,-,-,675,72.2
713,Kanazawa University,Japan,21,-,630,-,683,72.2
714,Mississippi State University,USA,172,317,429,-,702,72.2
715,Beijing University of Posts and Telecommunications,China,99,-,480,-,692,72.2
716,Toulouse INP,France,34,-,259,-,721,72.2
717,University of Debrecen,Hungary,4,-,-,-,679,72.2
718,Isfahan University of Technology,Iran,5,-,-,-,680,72.2
719,Federal University of Santa Catarina,Brazil,10,-,1372,-,682,72.1
720,Otto von Guericke University Magdeburg,Germany,43,-,-,-,681,72.1
721,Central Party School of the Communist Party of China,China,100,-,21,-,-,72.1
722,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,10,-,-,-,684,72.1
723,National Chung Hsing University,Taiwan,9,-,235,-,734,72.1
724,University of Missouri-Kansas City,USA,173,473,585,-,696,72.1
725,Wenzhou Medical University,China,101,-,-,-,686,72.1
726,Shanxi University,China,102,-,1605,-,687,72.1
727,American University of Beirut,Lebanon,1,262,191,-,775,72.1
728,Montana State University - Bozeman,USA,174,-,1369,-,689,72.1
729,University of Massachusetts Boston,USA,175,-,1243,189,839,72.1
730,Panjab University,India,8,513,705,-,694,72.1
731,Courtauld Institute of Art,United Kingdom,47,13,-,-,-,72.1
732,Kumamoto University,Japan,22,-,716,-,695,72
733,Nanjing University of Posts and Telecommunications,China,103,-,816,-,693,72
734,Indian Institute of Technology Kharagpur,India,9,-,494,-,711,72
735,Kangwon National University,South Korea,22,-,1625,-,691,72
736,University of Crete,Greece,5,-,-,-,697,72
737,China University of Petroleum (East China),China,104,-,592,-,710,72
738,"Birkbeck, University of London",United Kingdom,48,225,-,172,918,72
739,Quaid-i-Azam University,Pakistan,1,-,-,-,698,72
740,University of Murcia,Spain,22,-,-,-,699,72
741,University of Arkansas for Medical Sciences,USA,176,-,-,-,700,72
742,Saarland University,Germany,44,-,481,-,719,72
743,University of Cyprus,Cyprus,1,-,-,-,703,72
744,Ajou University,South Korea,23,-,1124,-,704,72
745,COMSATS University Islamabad,Pakistan,2,-,-,-,705,71.9
746,University of Castilla–La Mancha,Spain,23,-,-,-,706,71.9
747,Bangor University,United Kingdom,49,189,775,250,800,71.9
748,Niigata University,Japan,23,-,849,-,715,71.9
749,Harbin Medical University,China,105,-,-,-,708,71.9
750,"University of Córdoba, Spain",Spain,24,-,-,-,709,71.9
751,Air Force Medical University,China,106,-,-,-,712,71.9
752,ShanghaiTech University,China,107,-,-,-,713,71.9
753,"China Medical University, PRC",China,108,-,-,-,714,71.9
754,Yeungnam University,South Korea,24,-,427,-,735,71.9
755,International School for Advanced Studies,Italy,38,-,-,-,716,71.9
756,University of Jinan,China,109,-,1473,-,717,71.9
757,University of Greifswald,Germany,45,-,-,253,776,71.9
758,Kitasato University,Japan,24,-,-,126,986,71.8
759,Beijing Forestry University,China,110,-,-,-,718,71.8
760,University of Alaska Fairbanks,USA,177,404,812,-,723,71.8
761,University of Salento,Italy,39,-,-,-,720,71.8
762,Technical University of Braunschweig,Germany,46,476,1173,-,722,71.8
763,Tokyo University of Science,Japan,25,308,801,-,733,71.8
764,Guangxi University,China,111,-,-,-,725,71.8
765,University of Idaho,USA,178,-,-,-,726,71.8
766,"University of the Andes, Colombia",Colombia,1,-,433,-,758,71.8
767,Federal University of Paraná,Brazil,11,-,1388,-,727,71.8
768,Tarbiat Modares University,Iran,6,-,-,-,728,71.8
769,"University of Maryland, Baltimore County",USA,179,-,-,236,830,71.8
770,Augusta University,USA,180,-,-,-,729,71.8
771,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,11,-,-,-,730,71.8
772,Kent State University,USA,181,-,-,-,731,71.7
773,University of Lübeck,Germany,47,-,-,-,732,71.7
774,University of Essex,United Kingdom,50,517,654,-,748,71.7
775,Shandong University of Science and Technology,China,112,-,833,-,738,71.7
776,Marche Polytechnic University,Italy,40,-,-,-,736,71.7
777,University of Girona,Spain,25,-,-,-,737,71.7
778,National University of Colombia,Colombia,2,-,856,-,746,71.7
779,Osaka City University,Japan,26,236,434,-,782,71.7
780,Örebro University,Sweden,12,-,946,-,747,71.7
781,Henan University,China,113,-,-,-,739,71.7
782,Chongqing Medical University,China,114,-,-,-,740,71.7
783,"Putra University, Malaysia",Malaysia,2,-,1561,-,741,71.7
784,Ain Shams University,Egypt,2,-,-,-,742,71.7
785,Kaohsiung Medical University,Taiwan,10,-,-,-,743,71.6
786,University of Vigo,Spain,26,-,-,-,744,71.6
787,Norwegian University of Life Sciences,Norway,5,-,1013,-,751,71.6
788,Anhui University,China,115,-,948,-,753,71.6
789,"University of Science, Malaysia",Malaysia,3,-,-,-,749,71.6
790,Amirkabir University of Technology,Iran,7,-,-,-,750,71.6
791,SUNY Downstate Medical Center,USA,182,-,-,148,996,71.6
792,"Graduate School, GRINM",China,116,-,24,-,-,71.6
793,China University of Petroleum-Beijing,China,117,-,742,-,759,71.6
794,University of the Balearic Islands,Spain,27,-,-,-,754,71.6
795,Yerevan Physics Institute,Armenia,1,-,-,-,755,71.6
796,"University of Natural Resources and Life Sciences, Vienna",Austria,8,-,-,-,756,71.6
797,University of Wuppertal,Germany,48,-,-,-,757,71.6
798,Ohio University,USA,183,396,379,-,792,71.6
799,Harbin Engineering University,China,118,-,-,-,761,71.5
800,University of Patras,Greece,6,-,-,-,762,71.5
801,University of Montana,USA,184,272,-,-,769,71.5
802,Ningbo University,China,119,-,1210,-,763,71.5
803,University of Split,Croatia,2,-,-,-,764,71.5
804,University of North Carolina at Charlotte,USA,185,-,712,-,770,71.5
805,University of Hohenheim,Germany,49,-,-,-,765,71.5
806,Centrale Lille Institut,France,35,-,94,-,1000,71.5
807,Carl von Ossietzky University of Oldenburg,Germany,50,-,-,-,766,71.5
808,National Research University Higher School of Economics,Russia,12,-,-,-,767,71.5
809,University of Rhode Island,USA,186,-,557,-,785,71.5
810,University of Messina,Italy,41,-,-,-,768,71.5
811,Belarusian State University,Belarus,1,-,-,-,771,71.5
812,National Taiwan University of Science and Technology,Taiwan,11,-,741,-,778,71.5
813,Gwangju Institute of Science and Technology,South Korea,25,-,-,-,772,71.4
814,Gyeongsang National University,South Korea,26,-,-,-,773,71.4
815,USI - University of Italian Speaking Switzerland,Switzerland,11,-,-,-,774,71.4
816,Jawaharlal Nehru University,India,10,492,-,86,1244,71.4
817,"Open University, UK",United Kingdom,51,-,1650,-,777,71.4
818,Adam Mickiewicz University in Poznań,Poland,6,-,-,-,779,71.4
819,University of Alcalá,Spain,28,-,-,-,780,71.4
820,University of Siegen,Germany,51,-,1558,-,781,71.4
821,Northern Arizona University,USA,187,-,1104,-,784,71.4
822,Northern Illinois University,USA,188,-,779,-,791,71.4
823,University of Concepción,Chile,3,-,-,-,786,71.4
824,Tomsk State University,Russia,13,-,-,-,787,71.4
825,University of Basilicata,Italy,42,-,-,-,788,71.4
826,National Centre for Nuclear Research,Poland,7,-,-,-,789,71.4
827,National Sun Yat-sen University,Taiwan,12,-,1263,-,794,71.3
828,Polytechnic University of Bari,Italy,43,-,-,-,793,71.3
829,"University of Nevada, Las Vegas",USA,189,-,864,-,795,71.3
830,Miami University,USA,190,-,110,-,987,71.3
831,Cranfield University,United Kingdom,52,-,201,-,893,71.3
832,University of Wrocław,Poland,8,477,1428,258,869,71.3
833,Graz University of Technology,Austria,9,-,-,-,796,71.3
834,Indian Institute of Technology Kanpur,India,11,-,371,-,836,71.3
835,Liverpool John Moores University,United Kingdom,53,-,-,-,798,71.3
836,Shandong Normal University,China,120,-,-,-,799,71.3
837,Murdoch University,Australia,25,-,887,-,806,71.3
838,University of Denver,USA,191,-,169,-,931,71.3
839,University of Toledo,USA,192,-,-,-,801,71.3
840,University of L'Aquila,Italy,44,-,-,-,802,71.3
841,Indian Institute of Technology Roorkee,India,12,-,288,-,855,71.3
842,Hangzhou Normal University,China,121,-,1577,-,803,71.2
843,Dongguk University,South Korea,27,-,532,-,825,71.2
844,National University of Malaysia (UKM),Malaysia,4,-,-,-,804,71.2
845,Kindai University,Japan,27,-,-,-,805,71.2
846,Tokushima University,Japan,28,74,769,-,980,71.2
847,Hasselt University,Belgium,8,-,749,-,812,71.2
848,University of Alicante,Spain,29,-,-,-,807,71.2
849,Carlos III University of Madrid,Spain,30,-,-,-,808,71.2
850,Juntendo University,Japan,29,-,-,-,809,71.2
851,Graduate University for Advanced Studies,Japan,30,-,-,-,810,71.2
852,"University of Technology, Malaysia",Malaysia,5,-,-,-,811,71.2
853,Ryerson University,Canada,25,-,-,-,813,71.2
854,University of Luxembourg,Luxembourg,1,-,-,-,814,71.2
855,Nagasaki University,Japan,31,299,475,-,847,71.2
856,"University of California, Merced",USA,193,-,-,-,815,71.1
857,Old Dominion University,USA,194,-,-,-,816,71.1
858,Shandong First Medical University & Shandong Academy of Medical Sciences,China,122,-,-,-,817,71.1
859,University of Brasília,Brazil,12,-,1089,-,819,71.1
860,Sorbonne Paris Nord University,France,36,-,-,-,818,71.1
861,Northumbria University,United Kingdom,54,-,839,-,824,71.1
862,"City, University of London",United Kingdom,55,523,548,-,835,71.1
863,Federal University of Pernambuco,Brazil,13,-,1222,-,821,71.1
864,Peter the Great St. Petersburg Polytechnic University,Russia,14,504,926,-,827,71.1
865,Brazilian Center for Research in Physics (CBPF),Brazil,14,-,-,-,820,71.1
866,Getúlio Vargas Foundation,Brazil,15,-,34,-,-,71.1
867,University of Brighton,United Kingdom,56,-,-,-,822,71.1
868,Anhui Medical University,China,123,-,-,-,823,71.1
869,China Pharmaceutical University,China,124,-,1125,-,826,71.1
870,London Business School,United Kingdom,57,-,51,-,1654,71.1
871,Federico Santa María Technical University,Chile,4,-,1073,-,829,71
872,Uniformed Services University of the Health Sciences,USA,195,-,-,-,828,71
873,University of Tours,France,37,158,-,-,866,71
874,Aberystwyth University,United Kingdom,58,-,868,215,981,71
875,Ivane Javakhishvili Tbilisi State University,Georgia,1,-,-,-,831,71
876,Qingdao University of Science and Technology,China,125,-,1248,-,832,71
877,University of Portsmouth,United Kingdom,59,-,1138,-,834,71
878,Benemérita Autonomous University of Puebla,Mexico,4,-,-,-,833,71
879,Guangzhou University,China,126,-,952,-,841,71
880,North-West University,South Africa,7,-,-,-,837,71
881,University of Orléans,France,38,-,1566,-,838,71
882,University of Insubria,Italy,45,-,-,-,840,71
883,Wesleyan University,USA,196,-,55,-,1577,71
884,Shandong Agricultural University,China,127,-,-,-,842,71
885,Banaras Hindu University,India,13,321,684,-,860,71
886,Nanjing Forestry University,China,128,-,-,-,844,70.9
887,Shizuoka University,Japan,32,-,1041,102,1313,70.9
888,Taiyuan University of Technology,China,129,-,1341,-,845,70.9
889,Fujian Agriculture and Forestry University,China,130,-,-,-,846,70.9
890,Zhejiang Normal University,China,131,-,-,-,848,70.9
891,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,15,35,-,214,-,70.9
892,Ege University,Turkey,7,-,-,-,849,70.9
893,New Mexico State University,USA,197,461,680,-,865,70.9
894,University of Mons,Belgium,9,-,-,-,850,70.9
895,Babeș-Bolyai University,Romania,1,-,-,-,852,70.9
896,Jaume I University,Spain,31,-,-,-,853,70.9
897,University of Shanghai for Science and Technology,China,132,-,-,-,854,70.9
898,Meijo University,Japan,33,-,-,33,-,70.9
899,"All India Institute of Medical Sciences, New Delhi",India,14,-,-,-,856,70.9
900,University of Louisiana at Lafayette,USA,198,-,-,-,857,70.9
901,Gachon University,South Korea,28,-,-,-,858,70.8
902,University of Valladolid,Spain,32,-,1185,-,861,70.8
903,Jean Monnet University,France,39,-,-,-,859,70.8
904,Norwegian School of Economics,Norway,6,465,41,-,-,70.8
905,Sofia University,Bulgaria,1,156,-,-,905,70.8
906,Gazi University,Turkey,8,-,1329,-,863,70.8
907,Jawaharlal Nehru Centre for Advanced Scientific Research,India,15,-,-,119,1297,70.8
908,Iran University of Science and Technology,Iran,8,-,-,-,862,70.8
909,Henan Normal University,China,133,-,-,-,864,70.8
910,University of Stirling,United Kingdom,60,-,615,-,882,70.8
911,Kunming University of Science and Technology,China,134,-,-,-,867,70.8
912,University of Seoul,South Korea,29,-,-,-,868,70.8
913,"University of Science and Technology, Korea",South Korea,30,-,-,-,870,70.8
914,Michigan Technological University,USA,199,354,903,-,878,70.8
915,Khalifa University,United Arab Emirates,1,-,-,-,871,70.8
916,Inje University,South Korea,31,-,-,-,872,70.8
917,Medical University of Warsaw,Poland,9,-,-,-,873,70.7
918,Qatar University,Qatar,1,-,879,-,877,70.7
919,Federal University of Viçosa,Brazil,16,-,-,-,874,70.7
920,Yanshan University,China,135,-,1303,-,875,70.7
921,Portland State University,USA,200,-,389,-,916,70.7
922,Shiraz University,Iran,9,-,-,-,876,70.7
923,Missouri University of Science and Technology,USA,201,-,410,-,917,70.7
924,Nihon University,Japan,34,522,1241,-,880,70.7
925,Chungbuk National University,South Korea,32,-,-,-,879,70.7
926,Wroclaw Medical University,Poland,10,-,-,-,881,70.7
927,Gabriele d’Annunzio University,Italy,46,-,-,-,883,70.7
928,Hunan Normal University,China,136,-,-,-,884,70.7
929,Claremont McKenna College,USA,202,-,37,-,-,70.7
930,Çukurova University,Turkey,9,-,1499,-,885,70.7
931,Budapest University of Technology and Economics,Hungary,5,224,1374,-,911,70.7
932,Mansoura University,Egypt,3,-,-,-,886,70.6
933,Polytechnic University of Bucharest,Romania,2,-,-,-,887,70.6
934,Academy of Scientific & Innovative Research,India,16,-,-,-,888,70.6
935,Technical University of Kaiserslautern,Germany,52,-,1226,-,889,70.6
936,King Juan Carlos University,Spain,33,-,-,-,890,70.6
937,Indian Institute of Technology Guwahati,India,17,-,-,-,891,70.6
938,Shahid Beheshti University of Medical Sciences,Iran,10,-,-,-,892,70.6
939,University of Limerick,Ireland,5,-,620,-,906,70.6
940,Federal University of ABC,Brazil,17,-,-,-,894,70.6
941,Oberlin College,USA,203,26,-,-,-,70.6
942,Chiang Mai University,Thailand,3,-,1622,-,895,70.6
943,"University of the Republic, Uruguay",Uruguay,1,-,1648,-,896,70.6
944,Paul Valéry University,France,40,-,-,-,897,70.6
